,dataset,label,count
331,DevProso,rh.G&S_frontomargin,82
332,DevProso,rh.G&S_occipital_inf,82
333,DevProso,rh.G&S_paracentral,82
334,DevProso,rh.G&S_subcentral,82
335,DevProso,rh.G&S_transv_frontopol,82
336,DevProso,rh.G_subcallosal,82
337,DevProso,rh.G_temporal_inf,82
338,DevProso,rh.G_temporal_middle,82
339,DevProso,rh.G_temp_sup-G_T_transv,82
340,DevProso,rh.G_temp_sup-Lateral,82
341,DevProso,rh.G_temp_sup-Plan_polar,82
342,DevProso,rh.G_temp_sup-Plan_tempo,82
343,DevProso,rh.inferiorparietal,14
344,DevProso,rh.inferiortemporal,14
345,DevProso,rh.insula,14
346,DevProso,rh.isthmuscingulate,14
347,DevProso,rh.lateraloccipital,14
348,DevProso,rh.lateralorbitofrontal,14
349,DevProso,rh.Lat_Fis-ant-Horizont,82
350,DevProso,rh.Lat_Fis-ant-Vertical,82
351,DevProso,rh.Lat_Fis-post,82
352,DevProso,rh.lingual,14
353,DevProso,rh.medialorbitofrontal,14
354,DevProso,rh.middletemporal,14
355,DevProso,rh.paracentral,14
356,DevProso,rh.parahippocampal,14
357,DevProso,rh.parsopercularis,14
358,DevProso,rh.parsorbitalis,14
359,DevProso,rh.parstriangularis,14
360,DevProso,rh.pericalcarine,14
361,DevProso,rh.Pole_occipital,82
362,DevProso,rh.Pole_temporal,82
363,DevProso,rh.postcentral,14
364,DevProso,rh.posteriorcingulate,14
365,DevProso,rh.precentral,14
366,DevProso,rh.precuneus,14
367,DevProso,rh.rostralanteriorcingulate,14
368,DevProso,rh.rostralmiddlefrontal,14
369,DevProso,rh.S_calcarine,82
370,DevProso,rh.S_central,82
371,DevProso,rh.S_cingul-Marginalis,82
372,DevProso,rh.S_circular_insula_ant,82
373,DevProso,rh.S_circular_insula_inf,82
374,DevProso,rh.S_circular_insula_sup,82
375,DevProso,rh.S_collat_transv_ant,82
376,DevProso,rh.S_collat_transv_post,82
377,DevProso,rh.S_front_inf,82
378,DevProso,rh.S_front_middle,82
379,DevProso,rh.S_front_sup,82
380,DevProso,rh.S_interm_prim-Jensen,82
381,DevProso,rh.S_intrapariet&P_trans,82
382,DevProso,rh.S_occipital_ant,82
383,DevProso,rh.S_oc_middle&Lunatus,82
384,DevProso,rh.S_oc_sup&transversal,82
385,DevProso,rh.S_oc-temp_lat,82
386,DevProso,rh.S_oc-temp_med&Lingual,82
387,DevProso,rh.S_orbital-H_Shaped,82
388,DevProso,rh.S_orbital_lateral,82
389,DevProso,rh.S_orbital_med-olfact,82
390,DevProso,rh.S_parieto_occipital,82
391,DevProso,rh.S_pericallosal,82
392,DevProso,rh.S_postcentral,82
393,DevProso,rh.S_precentral-inf-part,82
394,DevProso,rh.S_precentral-sup-part,82
395,DevProso,rh.S_suborbital,82
396,DevProso,rh.S_subparietal,82
397,DevProso,rh.S_temporal_inf,82
398,DevProso,rh.S_temporal_sup,82
399,DevProso,rh.S_temporal_transverse,82
400,DevProso,rh.superiorfrontal,14
401,DevProso,rh.superiorparietal,14
402,DevProso,rh.superiortemporal,14
403,DevProso,rh.supramarginal,14
404,DevProso,rh.temporalpole,14
405,DevProso,rh.transversetemporal,14
406,DevProso,rh.Unknown,82
407,DevProso,lh.sPoCS,57
408,DevProso,lh.iPoCS,57
409,DevProso,lh.IPS,57
410,DevProso,lh.cSTS1,57
411,DevProso,lh.STS,55
412,DevProso,lh.cSTS2,57
413,DevProso,lh.cSTS3,57
414,DevProso,lh.pips,56
415,DevProso,lh.aipsJ,55
416,DevProso,lh.iTOS,57
417,DevProso,lh.mTOS,57
418,DevProso,lh.IPS-PO,57
419,DevProso,lh.sB,57
420,DevProso,rh.sPoCS,55
421,DevProso,rh.iPoCS,55
422,DevProso,rh.iPS,1
423,DevProso,rh.LF,55
424,DevProso,rh.IPS,56
425,DevProso,rh.SmgS,55
426,DevProso,rh.STS,56
427,DevProso,rh.cSTS1,56
428,DevProso,rh.cSTS2,56
429,DevProso,rh.cSTS3,56
430,DevProso,rh.aipsJ,54
431,DevProso,rh.IPS-PO,56
432,DevProso,rh.sB,56
433,DevProso,rh.pips,56
434,DevProso,rh.iTOS,56
435,DevProso,rh.mTOS,56
436,DevProso,label_stats_lgi,82
437,DevProso,rh.pmc_3,43
438,DevProso,rh.pmc_2,82
439,DevProso,lh.pmc_2,82
440,DevProso,rh.PMC_consistent_sulci,82
441,DevProso,lh.PMC_consistent_sulci,82
442,DevProso,rh.ICGS_P,42
443,DevProso,lh.SSPLS_V,65
444,DevProso,lh.PRCULS_V,30
445,DevProso,rh.PRCULS_V,36
446,DevProso,lh.PMC_consistent_sulci_v2,82
447,DevProso,rh.ICGS_P_v3,42
448,DevProso,lh.SSPLS_V_v3,65
449,DevProso,lh.PRCULS_V_v3,30
450,DevProso,rh.PRCULS_V_v3,36
451,DevProso,lh.PMC_consistent_sulci_v3,82
452,DevProso,rh.PMC_consistent_sulci_v3,82
453,DevProso,rh.pFUS,38
454,DevProso,rh.mFUS,46
455,DevProso,lh.sbps_a,82
456,DevProso,lh.sbps_p,82
457,DevProso,rh.sbps_a,82
458,DevProso,rh.sbps_p,82
459,DevProso,lh.pmc_pY,19
460,DevProso,rh.pmc_p,47
461,DevProso,lh.pmc_pXY,17
462,DevProso,lh.pmc_pX,35
