,dataset,label,count
348,NORA,rh.aparc.-027,168
349,NORA,rh.aparc.-028,168
350,NORA,rh.aparc.-029,168
351,NORA,rh.aparc.-030,168
352,NORA,rh.aparc.-031,168
353,NORA,rh.aparc.-032,168
354,NORA,rh.aparc.-033,168
355,NORA,rh.aparc.-034,168
356,NORA,lh.insula,173
357,NORA,lh.HCP_INSULA_v1,72
358,NORA,rh.HCP_INSULA_v1,72
359,NORA,lh.ifrms_figure,72
360,NORA,rh.ifrms_figure,72
361,NORA,lh.NORA_11_DLPFC,64
362,NORA,rh.NORA_11_DLPFC,64
363,NORA,lh.NORA_11_DLPFC_sulci,64
364,NORA,rh.NORA_11_DLPFC_sulci,64
365,NORA,lh.NORA_11_DLPFC_SULC,64
366,NORA,rh.NORA_11_DLPFC_SULC,64
367,NORA,rh.NORA_11_DLPFC_v1,64
368,NORA,lh.all_dlpfc_sulci,64
369,NORA,lh.ALL_DLPFC_SULCI,69
370,NORA,rh.ALL_DLPFC_SULCI,69
371,NORA,lh.painfs,205
372,NORA,lh.ts,211
373,NORA,lh.ds,212
374,NORA,lh.half,212
375,NORA,lh.ifs_new,25
376,NORA,rh.ifs_new,32
377,NORA,rh.ts,212
378,NORA,rh.ds,212
379,NORA,rh.aalf,212
380,NORA,rh.half,212
381,NORA,rh.prts,212
382,NORA,rh.lfms,212
383,NORA,lh.iprs_new,5
384,NORA,lh.sfs_a_new,4
385,NORA,lh.pmfs_p_new,2
386,NORA,lh.pmfs_a_new,2
387,NORA,lh.pmfs_i_new,4
388,NORA,rh.sprs_new,3
389,NORA,rh.iprs_new,7
390,NORA,rh.sfs_p_new,4
391,NORA,rh.sfs_a_new,5
392,NORA,rh.pmfs_p_new,4
393,NORA,rh.pmfs_i_new,4
394,NORA,rh.pmfs_a_new,4
395,NORA,rh.painfs_p,61
396,NORA,rh.painfs_a,67
397,NORA,rh.infs_h_new,5
398,NORA,rh.infs_v_new,2
399,NORA,lh.ALL_VLPFC_SULCI,69
400,NORA,rh.ALL_VLPFC_SULCI,69
401,NORA,label_stats_lgi,165
402,NORA,lh.IFS_FIX,7
403,NORA,rh.IFS_FIX,8
404,NORA,rh.INFS_H_FIX,5
405,NORA,rh.INFS_V_FIX,2
406,NORA,lh.IPRS_FIX,5
407,NORA,rh.IPRS_FIX,6
408,NORA,lh.PMFS_A_FIX,2
409,NORA,rh.PMFS_A_FIX,3
410,NORA,lh.PMFS_I_FIX,4
411,NORA,rh.PMFS_I_FIX,4
412,NORA,lh.PMFS_P_FIX,2
413,NORA,lh.SFS_A_FIX,4
414,NORA,rh.SFS_A_FIX,5
415,NORA,rh.SFS_P_FIX,4
416,NORA,rh.SPRS_FIX,3
417,NORA,rh.INFS_V,2
418,NORA,label_stats_non_lgi,160
419,NORA,rh.fronto,1
420,NORA,BA.thresh,157
421,NORA,aparc.annot.DKTatlas40,157
422,NORA,rh.MT,157
423,NORA,lh.BA,157
424,NORA,lh.BA.thresh,157
425,NORA,rh.MT.thresh,157
426,NORA,lh.BA1,157
427,NORA,lh.BA1.thresh,157
